region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,year,assumption_no_change,assumption_note
Andalusia,Ingreso Mínimo de Solidaridad,1.0,406.22,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,1.0,406.22,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,1.0,406.22,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2019,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,2.0,406.22,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,2.0,406.22,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,2.0,406.22,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2019,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,3.0,458.64,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,3.0,458.64,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,3.0,458.64,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2019,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,4.0,511.06,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,4.0,511.06,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,4.0,511.06,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2019,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,5.0,563.48,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,5.0,563.48,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,5.0,563.48,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2019,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,6.0,615.9,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,6.0,615.9,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,6.0,615.9,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2019,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,7.0,655.2,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2017,True,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,7.0,655.2,655.2,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES61,2017,2018,True,2017 parameters carried forward to 2018-2019
