region_name_policy,baseline_age_threshold,baseline_claim_unit,baseline_resource_concept,baseline_wealth_test,baseline_labour_test,baseline_age_rule_type,baseline_allowed_hh_types,baseline_exclude_threeplus_adults,baseline_threeplus_rule,baseline_nonobservable_conditions_ignored,baseline_restricted_design,baseline_restriction_rationale,baseline_conditionality_profile,baseline_apply_active_inclusion_gate,baseline_relax_labour_gate,baseline_non_takeup_group,baseline_scheme_structure,baseline_amount_topup_factor,baseline_main_included,baseline_amount_method,nuts_code,source_year,year,assumption_no_change,assumption_note,program_name,simple_schedule,hh_rule_type,amount_simulable,max_amount,max_hh_size_listed,amount_simulation_notes,source_amount,notes_amount,baseline_has_listed_schedule,baseline_formula_region,baseline_needs_special_handling,labour_gate_profile,labour_gate_profile_note
Andalusia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,strict,True,False,high,classic_rmi,1.0,True,simple_schedule,ES61,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Mínimo de Solidaridad,True,size_schedule,True,655.2,7,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,strict,Explicit insertion conditionality; claimant must be registered jobseeker (Informe RMI 2017 Cuadro 3-2)
Andalusia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,strict,True,False,high,classic_rmi,1.0,True,simple_schedule,ES61,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Mínimo de Solidaridad,True,size_schedule,True,655.2,7,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,strict,Explicit insertion conditionality; claimant must be registered jobseeker (Informe RMI 2017 Cuadro 3-2)
Andalusia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,strict,True,False,high,classic_rmi,1.0,True,simple_schedule,ES61,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Mínimo de Solidaridad,True,size_schedule,True,655.2,7,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,strict,Explicit insertion conditionality; claimant must be registered jobseeker (Informe RMI 2017 Cuadro 3-2)
Aragon,18,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES24,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Aragonés de Inserción,True,size_schedule,True,896.8,6,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Aragon,18,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES24,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Aragonés de Inserción,True,size_schedule,True,896.8,6,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Aragon,18,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES24,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Aragonés de Inserción,True,size_schedule,True,896.8,6,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Asturias,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES12,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Salario Social Básico,True,size_schedule,True,730.88,6,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Asturias,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES12,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Salario Social Básico,True,size_schedule,True,730.88,6,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Asturias,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES12,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Salario Social Básico,True,size_schedule,True,730.88,6,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Balearic Islands,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,guaranteed_soft,False,True,none,coexisting_rmi_resoga,1.0,True,simple_schedule,ES53,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Renta Social Garantizada,True,size_schedule,True,776.58,7,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True,False,False,none,RESOGA guaranteed income regime; no labour status condition
Balearic Islands,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,guaranteed_soft,False,True,none,coexisting_rmi_resoga,1.0,True,simple_schedule,ES53,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Renta Social Garantizada,True,size_schedule,True,776.58,7,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True,False,False,none,RESOGA guaranteed income regime; no labour status condition
Balearic Islands,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,guaranteed_soft,False,True,none,coexisting_rmi_resoga,1.0,True,simple_schedule,ES53,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Renta Social Garantizada,True,size_schedule,True,776.58,7,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True,False,False,none,RESOGA guaranteed income regime; no labour status condition
