region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,assumption_no_change,assumption_note
Andalusia,Ingreso Mínimo de Solidaridad,1,406.22,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,2,406.22,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,3,458.64,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,4,511.06,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,5,563.48,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,6,615.9,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Andalusia,Ingreso Mínimo de Solidaridad,7,655.2,655.2,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES61,2017,TRUE,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,1,472,707,size_schedule,TRUE,TRUE,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,TRUE,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,2,613.6,707,size_schedule,TRUE,TRUE,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,TRUE,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,3,708,707,size_schedule,TRUE,TRUE,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,TRUE,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,4,802.4,707,size_schedule,TRUE,TRUE,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,TRUE,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,5,849.6,707,size_schedule,TRUE,TRUE,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,TRUE,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,6,896.8,707,size_schedule,TRUE,TRUE,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,TRUE,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,1,442.96,730.88,size_schedule,TRUE,TRUE,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,TRUE,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,2,540.41,730.88,size_schedule,TRUE,TRUE,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,TRUE,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,3,611.28,730.88,size_schedule,TRUE,TRUE,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,TRUE,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,4,682.14,730.88,size_schedule,TRUE,TRUE,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,TRUE,2017 parameters carried forward to 2018-2019
