region,population_2017,titular_beneficiaries,total_perceptors,coverage_rate_titular,coverage_rate_total,nuts_code,source_year,year,assumption_no_change,assumption_note
Andalusia,8379820,29337,102680,3.5009105207510425,12.253246489781404,ES61,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Andalusia,8379820,29337,102680,3.5009105207510425,12.253246489781404,ES61,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Andalusia,8379820,29337,102680,3.5009105207510425,12.253246489781404,ES61,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Aragon,1308750,10466,25183,7.996943648519579,19.242024832855776,ES24,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Aragon,1308750,10466,25183,7.996943648519579,19.242024832855776,ES24,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Aragon,1308750,10466,25183,7.996943648519579,19.242024832855776,ES24,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Asturias,1034960,22219,68357,21.468462549277266,66.04796320630749,ES12,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Asturias,1034960,22219,68357,21.468462549277266,66.04796320630749,ES12,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Asturias,1034960,22219,68357,21.468462549277266,66.04796320630749,ES12,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Balearic Islands,1115999,7551,13154,6.766135095103132,11.78674891285745,ES53,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Balearic Islands,1115999,7551,13154,6.766135095103132,11.78674891285745,ES53,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Balearic Islands,1115999,7551,13154,6.766135095103132,11.78674891285745,ES53,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Basque Country,2194158,76188,142029,34.723114743787825,64.73052533135717,ES21,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Basque Country,2194158,76188,142029,34.723114743787825,64.73052533135717,ES21,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Basque Country,2194158,76188,142029,34.723114743787825,64.73052533135717,ES21,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Canary Islands,2108121,13525,25369,6.415665893940623,12.033939228346,ES70,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Canary Islands,2108121,13525,25369,6.415665893940623,12.033939228346,ES70,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Canary Islands,2108121,13525,25369,6.415665893940623,12.033939228346,ES70,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Cantabria,580295,6366,14147,10.9702823563877,24.378979656898647,ES13,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Cantabria,580295,6366,14147,10.9702823563877,24.378979656898647,ES13,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Cantabria,580295,6366,14147,10.9702823563877,24.378979656898647,ES13,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Castilla-La Mancha,2031479,3152,11146,1.5515789235330515,5.48664298277265,ES42,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Castilla-La Mancha,2031479,3152,11146,1.5515789235330515,5.48664298277265,ES42,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Castilla-La Mancha,2031479,3152,11146,1.5515789235330515,5.48664298277265,ES42,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Castilla y Leon,2425801,15502,36643,6.390466489213253,15.105525968535753,ES41,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Castilla y Leon,2425801,15502,36643,6.390466489213253,15.105525968535753,ES41,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Castilla y Leon,2425801,15502,36643,6.390466489213253,15.105525968535753,ES41,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Catalonia,7555830,26311,67985,3.4822117490732323,8.997687878102074,ES51,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Catalonia,7555830,26311,67985,3.4822117490732323,8.997687878102074,ES51,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Catalonia,7555830,26311,67985,3.4822117490732323,8.997687878102074,ES51,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Ceuta,84959,263,967,3.095610824044539,11.38196071046034,ES63,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Ceuta,84959,263,967,3.095610824044539,11.38196071046034,ES63,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Ceuta,84959,263,967,3.095610824044539,11.38196071046034,ES63,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Extremadura,1079920,6316,16853,5.8485813763982515,15.605785613749166,ES43,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Extremadura,1079920,6316,16853,5.8485813763982515,15.605785613749166,ES43,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Extremadura,1079920,6316,16853,5.8485813763982515,15.605785613749166,ES43,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Galicia,2708339,14468,30512,5.342019592082084,11.265945658944467,ES11,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Galicia,2708339,14468,30512,5.342019592082084,11.265945658944467,ES11,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Galicia,2708339,14468,30512,5.342019592082084,11.265945658944467,ES11,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
La Rioja,315381,2424,2424,7.685941765673899,7.685941765673899,ES23,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
La Rioja,315381,2424,2424,7.685941765673899,7.685941765673899,ES23,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
La Rioja,315381,2424,2424,7.685941765673899,7.685941765673899,ES23,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Madrid,6507184,35483,117420,5.452896368075653,18.044671858057185,ES30,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Madrid,6507184,35483,117420,5.452896368075653,18.044671858057185,ES30,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Madrid,6507184,35483,117420,5.452896368075653,18.044671858057185,ES30,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Melilla,86120,994,3855,11.542034370645611,44.763121226196006,ES64,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Melilla,86120,994,3855,11.542034370645611,44.763121226196006,ES64,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Melilla,86120,994,3855,11.542034370645611,44.763121226196006,ES64,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Murcia,1470273,5421,13649,3.6870703604024557,9.283309970325238,ES62,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Murcia,1470273,5421,13649,3.6870703604024557,9.283309970325238,ES62,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Murcia,1470273,5421,13649,3.6870703604024557,9.283309970325238,ES62,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Navarra,643234,15918,35514,24.746826193889007,55.21163371339202,ES22,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Navarra,643234,15918,35514,24.746826193889007,55.21163371339202,ES22,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Navarra,643234,15918,35514,24.746826193889007,55.21163371339202,ES22,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Valencia,4941509,21387,51312,4.32803016244633,10.383872618667699,ES52,2017,2017,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Valencia,4941509,21387,51312,4.32803016244633,10.383872618667699,ES52,2017,2018,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
Valencia,4941509,21387,51312,4.32803016244633,10.383872618667699,ES52,2017,2019,TRUE,2017 coverage rates carried forward to 2018-2019 if needed
